SiteName,Syear,Eyear,Source,srfdata_dir,srfdata_name,metdata_dir,metdata_name,IGBP_CLASS,longitude,latitude
AT-Neu,2002,2012,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,AT-Neu_2002-2012_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,AT-Neu_2002-2012_FLUXNET2015_Met.nc,10,11.3175,47.1166
AU-Cpr,2011,2017,OzFlux,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,AU-Cpr_2011-2017_OzFlux_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,AU-Cpr_2011-2017_OzFlux_Met.nc,9,140.5891,-34.002
AU-DaP,2009,2012,OzFlux,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,AU-DaP_2009-2012_OzFlux_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,AU-DaP_2009-2012_OzFlux_Met.nc,10,131.318,-14.0633
AU-DaS,2010,2017,OzFlux,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,AU-DaS_2010-2017_OzFlux_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,AU-DaS_2010-2017_OzFlux_Met.nc,9,131.388,-14.1592
AU-Dry,2011,2015,OzFlux,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,AU-Dry_2011-2015_OzFlux_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,AU-Dry_2011-2015_OzFlux_Met.nc,9,132.3706,-15.2587
AU-How,2003,2017,OzFlux,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,AU-How_2003-2017_OzFlux_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,AU-How_2003-2017_OzFlux_Met.nc,8,131.1499,-12.4952
AU-Lit,2016,2017,OzFlux,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,AU-Lit_2016-2017_OzFlux_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,AU-Lit_2016-2017_OzFlux_Met.nc,8,130.7944,-13.179
AU-Stp,2010,2017,OzFlux,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,AU-Stp_2010-2017_OzFlux_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,AU-Stp_2010-2017_OzFlux_Met.nc,10,133.3502,-17.1506
BE-Bra,2004,2014,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,BE-Bra_2004-2014_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,BE-Bra_2004-2014_FLUXNET2015_Met.nc,5,4.5205,51.3091
BE-Lon,2005,2014,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,BE-Lon_2005-2014_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,BE-Lon_2005-2014_FLUXNET2015_Met.nc,12,4.7461,50.5515
BE-Vie,1997,2014,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,BE-Vie_1997-2014_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,BE-Vie_1997-2014_FLUXNET2015_Met.nc,5,5.998,50.305
CA-Qfo,2004,2010,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,CA-Qfo_2004-2010_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,CA-Qfo_2004-2010_FLUXNET2015_Met.nc,1,-74.3421,49.6925
CA-SF1,2004,2006,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,CA-SF1_2004-2006_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,CA-SF1_2004-2006_FLUXNET2015_Met.nc,1,-105.8175,54.485
CA-SF2,2003,2005,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,CA-SF2_2003-2005_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,CA-SF2_2003-2005_FLUXNET2015_Met.nc,1,-105.8775,54.2538
CA-SF3,2003,2005,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,CA-SF3_2003-2005_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,CA-SF3_2003-2005_FLUXNET2015_Met.nc,7,-106.0053,54.0915
CH-Cha,2006,2014,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,CH-Cha_2006-2014_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,CH-Cha_2006-2014_FLUXNET2015_Met.nc,10,8.4104,47.2102
CH-Dav,1997,2014,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,CH-Dav_1997-2014_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,CH-Dav_1997-2014_FLUXNET2015_Met.nc,1,9.8559,46.8153
CH-Fru,2007,2014,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,CH-Fru_2007-2014_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,CH-Fru_2007-2014_FLUXNET2015_Met.nc,10,8.5377,47.1158
CN-Cng,2008,2009,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,CN-Cng_2008-2009_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,CN-Cng_2008-2009_FLUXNET2015_Met.nc,10,123.5092,44.5933
CN-Du2,2007,2008,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,CN-Du2_2007-2008_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,CN-Du2_2007-2008_FLUXNET2015_Met.nc,10,116.2835,42.0466
CN-HaM,2002,2003,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,CN-HaM_2002-2003_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,CN-HaM_2002-2003_FLUXNET2015_Met.nc,10,101.18,37.3699
CZ-wet,2007,2014,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,CZ-wet_2007-2014_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,CZ-wet_2007-2014_FLUXNET2015_Met.nc,11,14.7703,49.0246
DE-Bay,1997,1999,LaThuile,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,DE-Bay_1997-1999_LaThuile_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,DE-Bay_1997-1999_LaThuile_Met.nc,1,11.8669,50.1419
DE-Geb,2001,2014,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,DE-Geb_2001-2014_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,DE-Geb_2001-2014_FLUXNET2015_Met.nc,12,10.9142,51.1001
DE-Gri,2004,2014,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,DE-Gri_2004-2014_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,DE-Gri_2004-2014_FLUXNET2015_Met.nc,10,13.5125,50.9494
DE-Hai,2000,2012,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,DE-Hai_2000-2012_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,DE-Hai_2000-2012_FLUXNET2015_Met.nc,4,10.453,51.0791
DE-Kli,2005,2014,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,DE-Kli_2005-2014_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,DE-Kli_2005-2014_FLUXNET2015_Met.nc,12,13.5223,50.893
DE-Meh,2004,2006,LaThuile,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,DE-Meh_2004-2006_LaThuile_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,DE-Meh_2004-2006_LaThuile_Met.nc,5,10.6554,51.2753
DE-Obe,2008,2014,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,DE-Obe_2008-2014_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,DE-Obe_2008-2014_FLUXNET2015_Met.nc,1,13.7212,50.7866
DE-Seh,2008,2010,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,DE-Seh_2008-2010_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,DE-Seh_2008-2010_FLUXNET2015_Met.nc,12,6.4496,50.8706
DE-SfN,2013,2014,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,DE-SfN_2013-2014_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,DE-SfN_2013-2014_FLUXNET2015_Met.nc,11,11.3275,47.8063
DE-Tha,1998,2014,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,DE-Tha_1998-2014_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,DE-Tha_1998-2014_FLUXNET2015_Met.nc,1,13.5669,50.9636
DE-Wet,2002,2006,LaThuile,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,DE-Wet_2002-2006_LaThuile_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,DE-Wet_2002-2006_LaThuile_Met.nc,1,11.4575,50.4534
DK-Lva,2005,2006,LaThuile,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,DK-Lva_2005-2006_LaThuile_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,DK-Lva_2005-2006_LaThuile_Met.nc,10,12.0832,55.6833
DK-Sor,1997,2014,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,DK-Sor_1997-2014_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,DK-Sor_1997-2014_FLUXNET2015_Met.nc,4,11.6446,55.4858
ES-LMa,2004,2006,LaThuile,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,ES-LMa_2004-2006_LaThuile_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,ES-LMa_2004-2006_LaThuile_Met.nc,9,-5.7733,39.9426
FI-Hyy,1996,2014,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,FI-Hyy_1996-2014_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,FI-Hyy_1996-2014_FLUXNET2015_Met.nc,1,24.295,61.8474
FI-Lom,2007,2009,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,FI-Lom_2007-2009_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,FI-Lom_2007-2009_FLUXNET2015_Met.nc,11,24.2091,67.9972
FI-Sod,2008,2014,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,FI-Sod_2008-2014_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,FI-Sod_2008-2014_FLUXNET2015_Met.nc,1,26.6378,67.3618
FR-Gri,2005,2013,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,FR-Gri_2005-2013_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,FR-Gri_2005-2013_FLUXNET2015_Met.nc,12,1.9519,48.8442
FR-Hes,1997,2006,LaThuile,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,FR-Hes_1997-2006_LaThuile_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,FR-Hes_1997-2006_LaThuile_Met.nc,4,7.0655,48.6741
FR-LBr,2003,2008,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,FR-LBr_2003-2008_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,FR-LBr_2003-2008_FLUXNET2015_Met.nc,1,-0.7692,44.7171
FR-Pue,2000,2014,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,FR-Pue_2000-2014_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,FR-Pue_2000-2014_FLUXNET2015_Met.nc,2,3.5958,43.7413
HU-Bug,2003,2006,LaThuile,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,HU-Bug_2003-2006_LaThuile_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,HU-Bug_2003-2006_LaThuile_Met.nc,10,19.6012,46.6911
